T_C,yO2,k_iso_1_per_min,k_CR_pred_1_per_min,CR/ISO_ratio,percent_error_%,iso_r2,iso_n_points,time_window,regime,common_hi_used,src
225.0,0.05,0.0,3.6882338918797216e-06,,,0.004339099757176168,41,"(221.5, 326.3)",isothermal_225,0.0008801939006350502,TG TEST 9 - ISOTHERMAL 225C 5% O2/ExpDat_PW500.xlsx
225.0,0.1,5.4756114523629724e-06,5.936952964297766e-06,1.0842538803106097,8.425388031060965,0.009168224850593099,26,"(312.5, 326.3)",isothermal_225,0.0008801939006350502,TG TEST 10 - ISOTHERMAL 225C 10% O2/ExpDat_PW500.xlsx
225.0,0.2,3.461813870315141e-05,9.558844477182695e-06,0.2761224270071031,-72.38775729928969,0.4482209186246354,18,"(143.0, 326.3)",isothermal_225,0.0008801939006350502,TG TEST 4 - ISOTHERMAL 225C 20% O2/ExpDat_PW.xlsx
250.0,0.2,2.2245756138217277e-05,3.907852572295619e-05,1.7566732944546182,75.66732944546182,0.8141211727903692,64,"(187.0, 689.8)",isothermal_250,0.0009568480734646053,TG TEST 3 - ISOTHERMAL 250C 20% O2/ExpDat_PW500.xlsx
