char,regime,T_C,yO2,time_window,T_mean_C,T_mean_K,k_iso_1_per_min,iso_r2,iso_n_points
WS,isothermal_225,225.0,0.05,"(96.0, 326.3)",225.0046300653595,498.15463006535947,0.00012172645762224542,0.9952527698670739,459
WS,isothermal_225,225.0,0.1,"(95.5, 326.3)",225.004597173913,498.154597173913,8.232238209043538e-05,0.9964469632443652,460
WS,isothermal_225,225.0,0.2,"(94.0, 326.3)",225.00490809935206,498.15490809935204,0.00016090674291079803,0.9953167117755662,463
WS,isothermal_250,250.0,0.05,"(120.0, 331.3)",250.00519038004757,523.1551903800475,9.587535619139642e-05,0.9943591853983937,421
WS,isothermal_250,250.0,0.1,"(175.0, 331.3)",250.0057178456592,523.1557178456592,4.984005628925589e-05,0.9660066437482017,311
WS,isothermal_250,250.0,0.2,"(98.0, 689.8)",250.00506524534694,523.1550652453469,0.000316724204364279,0.9949741707702554,1182
