char,regime,T_C,yO2,time_window,T_mean_C,T_mean_K,k_iso_1_per_min,iso_r2,iso_n_points
BRF,isothermal_225,225.0,0.05,"(102.0, 326.3)",225.00590492170028,498.15590492170026,0.00018046077938395862,0.9626234257736683,447
BRF,isothermal_225,225.0,0.1,"(98.0, 326.3)",225.00546224175827,498.15546224175824,0.00014005585041154672,0.9967432556325989,455
BRF,isothermal_225,225.0,0.2,"(92.5, 326.3)",225.00422242489265,498.1542224248926,0.0005301843504296382,0.9867200484467642,466
BRF,isothermal_250,250.0,0.05,"(99.0, 331.3)",250.0045118790497,523.1545118790497,0.0003160718268640865,0.9991124730926735,463
BRF,isothermal_250,250.0,0.1,"(98.5, 331.3)",250.00354502155164,523.1535450215516,0.0003063825393856786,0.989956777559938,464
BRF,isothermal_250,250.0,0.2,"(94.0, 689.8)",250.0039686722689,523.1539686722689,0.0006804603689644278,0.9867829301728932,1190
